"Date","Price","Open","High","Low","Vol.","Change %"
"03-05-2024","1,434.00","1,471.00","1,474.95","1,416.15","17.23M","-2.22%"
"02-05-2024","1,466.55","1,472.00","1,477.32","1,464.13","14.51M","-0.03%"
"30-04-2024","1,467.00","1,468.00","1,483.07","1,462.88","11.47M","0.13%"
"29-04-2024","1,465.03","1,450.00","1,467.90","1,450.00","7.25M","0.86%"
"26-04-2024","1,452.55","1,463.95","1,465.00","1,450.00","9.41M","-0.51%"
"25-04-2024","1,459.97","1,442.50","1,467.97","1,441.50","15.94M","0.68%"
"24-04-2024","1,450.18","1,463.50","1,468.55","1,449.50","10.46M","-0.63%"
"23-04-2024","1,459.32","1,479.00","1,493.50","1,455.55","14.61M","-1.39%"
"22-04-2024","1,479.85","1,472.45","1,482.82","1,467.80","10.35M","0.66%"
"19-04-2024","1,470.13","1,456.78","1,474.00","1,443.03","15.74M","0.40%"
"18-04-2024","1,464.32","1,463.50","1,486.00","1,459.35","19.01M","-0.10%"
"16-04-2024","1,465.75","1,453.35","1,471.18","1,450.93","9.37M","0.06%"
"15-04-2024","1,464.82","1,461.00","1,482.13","1,446.32","12.90M","-0.16%"
"12-04-2024","1,467.15","1,475.88","1,486.47","1,463.07","15.55M","-0.84%"
"10-04-2024","1,479.57","1,466.35","1,487.00","1,466.35","9.14M","1.09%"
"09-04-2024","1,463.65","1,489.00","1,489.80","1,462.50","7.07M","-1.50%"
"08-04-2024","1,485.97","1,462.97","1,490.97","1,461.00","8.36M","1.77%"
"05-04-2024","1,460.10","1,460.88","1,470.80","1,456.00","7.44M","-0.19%"
"04-04-2024","1,462.93","1,479.75","1,479.75","1,450.00","14.49M","-0.59%"
"03-04-2024","1,471.60","1,482.07","1,484.45","1,468.90","7.01M","-1.03%"
"02-04-2024","1,486.95","1,484.00","1,494.00","1,475.00","8.91M","0.15%"
"01-04-2024","1,484.78","1,492.47","1,493.97","1,482.50","5.01M","-0.07%"
"28-03-2024","1,485.85","1,492.88","1,505.95","1,478.65","21.85M","-0.47%"
"27-03-2024","1,492.85","1,448.00","1,500.00","1,447.00","16.33M","3.56%"
