"Date","Price","Open","High","Low","Vol.","Change %"
"24-10-2024","1,863.35","1,861.40","1,884.00","1,860.00","2.91M","-0.54%"
"23-10-2024","1,873.40","1,845.25","1,886.00","1,844.00","4.31M","1.18%"
"22-10-2024","1,851.60","1,858.20","1,877.80","1,846.95","4.13M","-0.06%"
"21-10-2024","1,852.75","1,891.10","1,898.80","1,838.00","4.65M","-1.43%"
"18-10-2024","1,879.60","1,893.80","1,936.85","1,869.25","10.53M","-4.50%"
"17-10-2024","1,968.10","1,935.20","1,978.00","1,930.15","8.16M","2.50%"
"16-10-2024","1,920.10","1,955.00","1,959.55","1,916.35","3.11M","-2.00%"
"15-10-2024","1,959.30","1,960.00","1,991.45","1,951.75","5.35M","0.02%"
"14-10-2024","1,958.90","1,932.15","1,969.50","1,931.10","3.75M","1.23%"
"11-10-2024","1,935.10","1,918.00","1,947.00","1,910.10","4.71M","0.84%"
"10-10-2024","1,919.00","1,957.90","1,964.00","1,914.10","4.78M","-1.73%"
"09-10-2024","1,952.75","1,952.55","1,977.00","1,945.10","4.86M","0.22%"
"08-10-2024","1,948.55","1,937.90","1,957.95","1,906.35","5.64M","0.74%"
"07-10-2024","1,934.30","1,923.20","1,942.00","1,916.05","6.11M","0.84%"
"04-10-2024","1,918.15","1,889.55","1,954.10","1,886.00","10.00M","1.31%"
"03-10-2024","1,893.40","1,889.50","1,911.85","1,881.00","7.50M","-0.57%"
"01-10-2024","1,904.35","1,875.00","1,908.95","1,875.00","4.03M","1.53%"
"30-09-2024","1,875.60","1,880.00","1,901.25","1,870.50","6.99M","-1.63%"
"27-09-2024","1,906.75","1,932.10","1,974.60","1,903.30","14.91M","0.34%"
"26-09-2024","1,900.25","1,897.80","1,917.95","1,893.00","8.95M","0.26%"
"25-09-2024","1,895.30","1,886.35","1,901.60","1,876.80","4.27M","-0.17%"
"24-09-2024","1,898.60","1,888.00","1,910.90","1,871.40","7.28M","0.11%"
"23-09-2024","1,896.45","1,909.00","1,918.90","1,878.45","3.64M","-0.49%"
"20-09-2024","1,905.75","1,905.00","1,915.00","1,867.40","15.24M","0.61%"
"19-09-2024","1,894.20","1,910.60","1,924.90","1,878.80","7.98M","0.11%"
"18-09-2024","1,892.15","1,938.75","1,938.75","1,881.30","6.39M","-3.09%"
"17-09-2024","1,952.55","1,947.75","1,958.45","1,942.15","2.79M","0.12%"
"16-09-2024","1,950.25","1,945.75","1,952.00","1,933.05","1.57M","0.32%"
"13-09-2024","1,944.10","1,950.45","1,958.60","1,935.65","3.84M","-0.33%"
"12-09-2024","1,950.45","1,925.00","1,956.40","1,910.80","8.56M","2.11%"
"11-09-2024","1,910.15","1,914.70","1,926.00","1,905.00","5.31M","-0.11%"
"10-09-2024","1,912.30","1,904.90","1,935.00","1,896.00","6.91M","0.93%"
"09-09-2024","1,894.65","1,890.00","1,920.85","1,889.00","4.77M","-0.38%"
"06-09-2024","1,901.85","1,922.00","1,936.50","1,896.85","5.85M","-1.62%"
"05-09-2024","1,933.15","1,926.25","1,940.00","1,909.60","4.08M","0.56%"
"04-09-2024","1,922.45","1,921.10","1,927.20","1,900.05","4.78M","-0.97%"
"03-09-2024","1,941.25","1,967.00","1,967.00","1,936.45","4.69M","-1.18%"
"02-09-2024","1,964.50","1,943.35","1,975.75","1,942.80","5.57M","1.07%"
"30-08-2024","1,943.70","1,938.00","1,950.00","1,928.00","13.47M","0.54%"
"29-08-2024","1,933.35","1,933.00","1,950.50","1,920.90","7.23M","-0.30%"
"28-08-2024","1,939.10","1,906.90","1,951.00","1,897.40","6.51M","2.05%"
"27-08-2024","1,900.10","1,876.15","1,902.75","1,873.90","3.83M","1.28%"
"26-08-2024","1,876.15","1,870.00","1,888.75","1,864.00","3.73M","0.75%"
"23-08-2024","1,862.10","1,878.20","1,882.60","1,857.00","5.02M","-0.97%"
"22-08-2024","1,880.25","1,884.00","1,893.65","1,869.70","4.30M","0.40%"
"21-08-2024","1,872.70","1,875.10","1,879.00","1,867.10","1.97M","0.03%"
"20-08-2024","1,872.20","1,880.00","1,885.70","1,868.20","3.87M","0.40%"
"19-08-2024","1,864.80","1,860.00","1,867.55","1,849.20","2.59M","0.31%"
"16-08-2024","1,858.95","1,850.00","1,861.85","1,829.50","7.34M","1.96%"
"14-08-2024","1,823.25","1,802.00","1,825.00","1,797.45","7.45M","1.44%"
"13-08-2024","1,797.45","1,810.00","1,810.00","1,789.05","4.18M","0.00%"
"12-08-2024","1,797.40","1,773.05","1,803.50","1,768.10","4.32M","1.51%"
"09-08-2024","1,770.75","1,771.25","1,780.75","1,756.00","4.26M","1.58%"
"08-08-2024","1,743.15","1,779.95","1,779.95","1,727.10","6.23M","-2.71%"
"07-08-2024","1,791.65","1,796.00","1,797.90","1,762.10","5.09M","2.32%"
"06-08-2024","1,751.10","1,760.20","1,796.95","1,744.85","7.69M","-0.05%"
"05-08-2024","1,751.90","1,784.95","1,797.50","1,718.55","10.74M","-3.81%"
"02-08-2024","1,821.20","1,843.00","1,859.50","1,816.15","7.40M","-1.69%"
"01-08-2024","1,852.60","1,856.10","1,867.90","1,845.10","7.48M","-0.84%"
"31-07-2024","1,868.25","1,877.00","1,885.15","1,865.05","5.00M","-0.47%"
"30-07-2024","1,877.15","1,871.10","1,879.95","1,860.00","2.72M","0.32%"
"29-07-2024","1,871.10","1,893.60","1,903.00","1,864.00","4.64M","-0.42%"
"26-07-2024","1,878.90","1,825.35","1,883.00","1,825.35","11.37M","2.96%"
"25-07-2024","1,824.85","1,820.00","1,830.90","1,812.00","5.82M","-0.50%"
"24-07-2024","1,833.95","1,837.50","1,842.35","1,819.60","6.00M","-0.16%"
"23-07-2024","1,836.90","1,810.00","1,839.95","1,783.25","7.11M","1.44%"
"22-07-2024","1,810.85","1,800.15","1,823.00","1,792.95","8.46M","1.00%"
"19-07-2024","1,792.95","1,844.00","1,844.00","1,786.45","29.82M","1.99%"
"18-07-2024","1,758.05","1,719.00","1,765.40","1,719.00","11.25M","1.85%"
"16-07-2024","1,726.05","1,718.60","1,737.90","1,700.00","6.89M","1.11%"
"15-07-2024","1,707.05","1,726.20","1,728.00","1,702.65","6.94M","-0.27%"
"12-07-2024","1,711.75","1,680.00","1,719.75","1,666.65","17.08M","3.57%"
"11-07-2024","1,652.70","1,656.00","1,665.00","1,642.05","8.86M","0.27%"
"10-07-2024","1,648.25","1,657.00","1,674.00","1,637.55","9.85M","-0.54%"
"09-07-2024","1,657.15","1,659.90","1,666.75","1,651.00","5.19M","-0.27%"
"08-07-2024","1,661.65","1,643.10","1,666.00","1,640.00","5.88M","0.86%"
"05-07-2024","1,647.45","1,651.45","1,665.85","1,633.35","7.07M","-0.19%"
"04-07-2024","1,650.65","1,628.20","1,660.00","1,628.00","8.01M","1.43%"
"03-07-2024","1,627.40","1,625.00","1,636.00","1,606.00","7.27M","0.39%"
"02-07-2024","1,621.05","1,596.20","1,633.80","1,586.50","10.49M","1.90%"
"01-07-2024","1,590.80","1,559.50","1,599.90","1,559.50","6.80M","1.54%"
"28-06-2024","1,566.75","1,572.55","1,588.50","1,564.25","8.20M","-0.42%"
"27-06-2024","1,573.35","1,538.45","1,578.40","1,532.05","14.76M","2.12%"
"26-06-2024","1,540.70","1,541.00","1,548.85","1,535.00","4.85M","-0.08%"
"25-06-2024","1,541.95","1,526.00","1,543.90","1,520.35","4.55M","0.97%"
"24-06-2024","1,527.15","1,524.55","1,529.10","1,515.40","5.56M","-0.36%"
"21-06-2024","1,532.70","1,545.00","1,557.75","1,523.70","17.30M","1.14%"
"20-06-2024","1,515.40","1,516.30","1,517.50","1,499.10","7.93M","0.27%"
"19-06-2024","1,511.35","1,505.00","1,515.65","1,496.70","5.49M","0.88%"
"18-06-2024","1,498.20","1,497.00","1,507.00","1,495.40","5.42M","0.62%"
"14-06-2024","1,488.90","1,503.70","1,503.70","1,486.05","4.24M","-0.34%"
"13-06-2024","1,493.95","1,495.00","1,505.00","1,489.35","7.31M","0.59%"
"12-06-2024","1,485.20","1,507.00","1,508.75","1,482.75","9.56M","-0.71%"
"11-06-2024","1,495.75","1,500.05","1,506.45","1,493.95","4.85M","-0.27%"
"10-06-2024","1,499.75","1,525.30","1,529.80","1,497.30","6.81M","-2.21%"
"07-06-2024","1,533.60","1,481.00","1,539.70","1,477.25","24.08M","4.17%"
"06-06-2024","1,472.25","1,444.95","1,474.30","1,437.50","12.66M","2.95%"
"05-06-2024","1,430.10","1,400.15","1,438.00","1,400.15","9.23M","2.62%"
"04-06-2024","1,393.65","1,409.00","1,415.00","1,358.35","13.74M","-0.87%"
"03-06-2024","1,405.90","1,440.00","1,440.00","1,404.00","10.59M","-0.07%"
"31-05-2024","1,406.90","1,409.80","1,436.75","1,400.00","37.11M","-0.88%"
"30-05-2024","1,419.45","1,434.71","1,441.72","1,413.58","9.66M","-1.62%"
"29-05-2024","1,442.82","1,457.19","1,457.29","1,441.87","7.40M","-1.10%"
"28-05-2024","1,458.83","1,467.23","1,467.73","1,452.12","6.19M","-0.29%"
"27-05-2024","1,463.10","1,463.60","1,471.31","1,452.07","5.82M","0.43%"
"24-05-2024","1,456.89","1,460.02","1,467.23","1,451.82","5.28M","-0.50%"
"23-05-2024","1,464.15","1,446.55","1,469.87","1,441.87","8.64M","1.21%"
"22-05-2024","1,446.65","1,420.74","1,451.77","1,420.00","7.17M","1.44%"
"21-05-2024","1,426.11","1,421.99","1,436.60","1,420.40","6.75M","-1.21%"
"18-05-2024","1,443.65","1,445.00","1,450.00","1,442.00","318.28K","0.52%"
"17-05-2024","1,436.21","1,448.83","1,448.83","1,431.18","7.54M","-0.62%"
"16-05-2024","1,445.20","1,425.91","1,447.59","1,419.00","9.25M","2.35%"
"15-05-2024","1,411.99","1,418.01","1,423.78","1,410.60","4.33M","-0.33%"
"14-05-2024","1,416.72","1,418.41","1,425.71","1,410.10","3.46M","0.09%"
"13-05-2024","1,415.47","1,417.01","1,417.01","1,403.29","3.74M","-0.10%"
"10-05-2024","1,416.92","1,427.01","1,427.90","1,405.08","8.78M","-1.02%"
"09-05-2024","1,431.48","1,419.55","1,441.82","1,416.86","6.09M","0.86%"
"08-05-2024","1,419.30","1,427.21","1,431.68","1,417.61","6.23M","-0.95%"
"07-05-2024","1,432.88","1,416.96","1,435.26","1,407.67","6.08M","1.06%"
"06-05-2024","1,417.91","1,412.04","1,437.60","1,409.16","6.45M","0.68%"
"03-05-2024","1,408.36","1,414.13","1,416.81","1,395.34","8.84M","0.13%"
"02-05-2024","1,406.52","1,405.08","1,416.02","1,403.94","10.08M","-0.43%"
"30-04-2024","1,412.59","1,426.66","1,428.50","1,409.61","6.94M","-0.99%"
"29-04-2024","1,426.71","1,421.94","1,431.73","1,420.25","5.06M","0.31%"
"26-04-2024","1,422.23","1,431.63","1,437.30","1,419.00","8.06M","-0.57%"
"25-04-2024","1,430.39","1,412.04","1,436.80","1,412.04","9.09M","0.54%"
"24-04-2024","1,422.73","1,436.21","1,436.21","1,419.05","4.27M","-0.81%"
"23-04-2024","1,434.32","1,434.91","1,438.74","1,424.97","4.86M","0.67%"
"22-04-2024","1,424.72","1,411.94","1,428.80","1,405.13","5.86M","1.52%"
