"Date","Price","Open","High","Low","Vol.","Change %"
"14-12-2023","3,650.34","3,613.26","3,661.04","3,610.87","3.29M","2.05%"
"13-12-2023","3,576.98","3,626.75","3,633.17","3,546.57","3.85M","-2.14%"
"12-12-2023","3,655.16","3,622.17","3,681.34","3,614.25","2.24M","0.80%"
"11-12-2023","3,626.10","3,606.19","3,636.15","3,598.33","1.10M","0.45%"
"08-12-2023","3,609.97","3,616.25","3,628.19","3,585.44","1.64M","0.33%"
"07-12-2023","3,598.23","3,588.37","3,613.81","3,575.14","1.97M","0.30%"
"06-12-2023","3,587.48","3,516.31","3,596.19","3,508.89","1.90M","2.05%"
"05-12-2023","3,515.31","3,521.68","3,521.68","3,486.65","1.38M","0.55%"
"04-12-2023","3,496.25","3,528.30","3,531.44","3,481.87","1.63M","0.02%"
"01-12-2023","3,495.45","3,483.86","3,500.73","3,473.95","1.17M","0.69%"
"30-11-2023","3,471.51","3,483.31","3,500.43","3,464.95","3.27M","-0.74%"
"29-11-2023","3,497.54","3,464.95","3,501.77","3,459.77","1.44M","1.26%"
"28-11-2023","3,454.15","3,441.16","3,465.19","3,417.17","1.69M","0.38%"
"24-11-2023","3,441.16","3,478.14","3,488.39","3,437.07","1.99M","-1.46%"
"23-11-2023","3,492.07","3,513.72","3,527.66","3,483.86","2.73M","-0.62%"
"22-11-2023","3,513.87","3,483.86","3,516.36","3,465.04","1.80M","0.57%"
"21-11-2023","3,494.01","3,503.37","3,522.73","3,484.85","1.81M","-0.27%"
"20-11-2023","3,503.37","3,475.15","3,517.60","3,475.15","1.48M","0.49%"
"17-11-2023","3,486.30","3,481.72","3,508.25","3,476.44","2.02M","0.13%"
"16-11-2023","3,481.72","3,414.23","3,513.07","3,398.45","3.95M","2.75%"
"15-11-2023","3,388.60","3,367.50","3,397.26","3,340.57","2.06M","2.18%"
"13-11-2023","3,316.19","3,340.52","3,340.52","3,311.66","1.03M","-1.27%"
"12-11-2023","3,358.90","3,350.00","3,359.00","3,350.00","173.21K","1.23%"
"10-11-2023","3,318.08","3,322.60","3,332.01","3,307.03","1.34M","-0.42%"
"09-11-2023","3,332.01","3,374.47","3,375.86","3,326.64","2.11M","-1.01%"
"08-11-2023","3,365.95","3,355.90","3,386.26","3,354.01","992.90K","0.33%"
"07-11-2023","3,354.91","3,362.42","3,388.45","3,350.48","1.19M","-0.29%"
"06-11-2023","3,364.66","3,359.44","3,376.66","3,343.51","1.10M","0.88%"
"03-11-2023","3,335.45","3,366.40","3,372.27","3,328.88","1.40M","-0.27%"
"02-11-2023","3,344.60","3,327.78","3,360.38","3,327.78","1.25M","0.88%"
"01-11-2023","3,315.29","3,339.53","3,356.05","3,295.73","1.56M","-1.13%"
"31-10-2023","3,353.21","3,383.32","3,383.32","3,334.60","999.81K","-0.29%"
"30-10-2023","3,362.97","3,334.55","3,367.25","3,318.38","910.97K","0.82%"
"27-10-2023","3,335.50","3,334.55","3,346.49","3,321.61","1.11M","0.43%"
"26-10-2023","3,321.36","3,352.52","3,358.14","3,314.64","1.98M","-1.57%"
"25-10-2023","3,374.47","3,374.86","3,409.20","3,361.62","1.52M","-0.59%"
